symbol,nse,bse,tradingview
DIACABS,DIACABS,,NSE:DIACABS
DIAMINESQ,DIAMINESQ,,NSE:DIAMINESQ
DIAMONDYD,DIAMONDYD,,NSE:DIAMONDYD
DICIND,DICIND,,NSE:DICIND
DIFFNKG,DIFFNKG,,NSE:DIFFNKG
DIGIDRIVE,DIGIDRIVE,,NSE:DIGIDRIVE
DIGISPICE,DIGISPICE,,NSE:DIGISPICE
DIGITIDE,DIGITIDE,,NSE:DIGITIDE
DIGJAMLMTD,DIGJAMLMTD,,NSE:DIGJAMLMTD
DIL,DIL,,NSE:DIL
DISHTV,DISHTV,,NSE:DISHTV
DIVGIITTS,DIVGIITTS,,NSE:DIVGIITTS
DIVISLAB,DIVISLAB,,NSE:DIVISLAB
DIXON,DIXON,,NSE:DIXON
DJML,DJML,,NSE:DJML
DLF,DLF,,NSE:DLF
DLINKINDIA,DLINKINDIA,,NSE:DLINKINDIA
DMART,DMART,,NSE:DMART
DMCC,DMCC,,NSE:DMCC
DNAMEDIA,DNAMEDIA,,NSE:DNAMEDIA
DODLA,DODLA,,NSE:DODLA
DOLATALGO,DOLATALGO,,NSE:DOLATALGO
DOLLAR,DOLLAR,,NSE:DOLLAR
DOLPHIN,DOLPHIN,,NSE:DOLPHIN
DOMS,DOMS,,NSE:DOMS
DONEAR,DONEAR,,NSE:DONEAR
DPABHUSHAN,DPABHUSHAN,,NSE:DPABHUSHAN
DPSCLTD,DPSCLTD,,NSE:DPSCLTD
DPWIRES,DPWIRES,,NSE:DPWIRES
DRCSYSTEMS,DRCSYSTEMS,,NSE:DRCSYSTEMS
DREAMFOLKS,DREAMFOLKS,,NSE:DREAMFOLKS
DREDGECORP,DREDGECORP,,NSE:DREDGECORP
DRREDDY,DRREDDY,,NSE:DRREDDY
DSFCL,DSFCL,,NSE:DSFCL
DSSL,DSSL,,NSE:DSSL
DTIL,DTIL,,NSE:DTIL
DUCON,DUCON,,NSE:DUCON
DVL,DVL,,NSE:DVL
DWARKESH,DWARKESH,,NSE:DWARKESH
DYCL,DYCL,,NSE:DYCL
DYNAMATECH,DYNAMATECH,,NSE:DYNAMATECH
DYNPRO,DYNPRO,,NSE:DYNPRO
E2E,E2E,,NSE:E2E
EASEMYTRIP,EASEMYTRIP,,NSE:EASEMYTRIP
EASTSILK,EASTSILK,,NSE:EASTSILK
EBGNG,EBGNG,,NSE:EBGNG
ECLERX,ECLERX,,NSE:ECLERX
ECOSMOBLTY,ECOSMOBLTY,,NSE:ECOSMOBLTY
EDELWEISS,EDELWEISS,,NSE:EDELWEISS
EDUCOMP,EDUCOMP,,NSE:EDUCOMP
EFCIL,EFCIL,,NSE:EFCIL
EICHERMOT,EICHERMOT,,NSE:EICHERMOT
EIDPARRY,EIDPARRY,,NSE:EIDPARRY
EIEL,EIEL,,NSE:EIEL
EIFFL,EIFFL,,NSE:EIFFL
EIHAHOTELS,EIHAHOTELS,,NSE:EIHAHOTELS
EIHOTEL,EIHOTEL,,NSE:EIHOTEL
EIMCOELECO,EIMCOELECO,,NSE:EIMCOELECO
EKC,EKC,,NSE:EKC
ELDEHSG,ELDEHSG,,NSE:ELDEHSG
ELECON,ELECON,,NSE:ELECON
ELECTCAST,ELECTCAST,,NSE:ELECTCAST
ELECTHERM,ELECTHERM,,NSE:ELECTHERM
ELGIEQUIP,ELGIEQUIP,,NSE:ELGIEQUIP
ELGIRUBCO,ELGIRUBCO,,NSE:ELGIRUBCO
ELIN,ELIN,,NSE:ELIN
ELLEN,ELLEN,,NSE:ELLEN
EMAMILTD,EMAMILTD,,NSE:EMAMILTD
EMAMIPAP,EMAMIPAP,,NSE:EMAMIPAP
EMAMIREAL,EMAMIREAL,,NSE:EMAMIREAL
EMBDL,EMBDL,,NSE:EMBDL
EMCURE,EMCURE,,NSE:EMCURE
EMIL,EMIL,,NSE:EMIL
EMKAY,EMKAY,,NSE:EMKAY
EMMBI,EMMBI,,NSE:EMMBI
EMMVEE,EMMVEE,,NSE:EMMVEE
EMSLIMITED,EMSLIMITED,,NSE:EMSLIMITED
EMUDHRA,EMUDHRA,,NSE:EMUDHRA
ENDURANCE,ENDURANCE,,NSE:ENDURANCE
ENERGYDEV,ENERGYDEV,,NSE:ENERGYDEV
ENGINERSIN,ENGINERSIN,,NSE:ENGINERSIN
ENIL,ENIL,,NSE:ENIL
ENRIN,ENRIN,,NSE:ENRIN
ENTERO,ENTERO,,NSE:ENTERO
EPACK,EPACK,,NSE:EPACK
EPACKPEB,EPACKPEB,,NSE:EPACKPEB
EPIGRAL,EPIGRAL,,NSE:EPIGRAL
EPL,EPL,,NSE:EPL
EQUIPPP,EQUIPPP,,NSE:EQUIPPP
EQUITASBNK,EQUITASBNK,,NSE:EQUITASBNK
ERIS,ERIS,,NSE:ERIS
ESABINDIA,ESABINDIA,,NSE:ESABINDIA
ESAFSFB,ESAFSFB,,NSE:ESAFSFB
ESCORTS,ESCORTS,,NSE:ESCORTS
ESSARSHPNG,ESSARSHPNG,,NSE:ESSARSHPNG
ESSENTIA,ESSENTIA,,NSE:ESSENTIA
ESTER,ESTER,,NSE:ESTER
ETERNAL,ETERNAL,,NSE:ETERNAL
ETHOSLTD,ETHOSLTD,,NSE:ETHOSLTD
EUREKAFORB,EUREKAFORB,,NSE:EUREKAFORB
EUROBOND,EUROBOND,,NSE:EUROBOND
EUROPRATIK,EUROPRATIK,,NSE:EUROPRATIK
EUROTEXIND,EUROTEXIND,,NSE:EUROTEXIND
EVEREADY,EVEREADY,,NSE:EVEREADY
EVERESTIND,EVERESTIND,,NSE:EVERESTIND
EXCEL,EXCEL,,NSE:EXCEL
EXCELINDUS,EXCELINDUS,,NSE:EXCELINDUS
EXCELSOFT,EXCELSOFT,,NSE:EXCELSOFT
EXICOM,EXICOM,,NSE:EXICOM
EXIDEIND,EXIDEIND,,NSE:EXIDEIND
EXPLEOSOL,EXPLEOSOL,,NSE:EXPLEOSOL
EXXARO,EXXARO,,NSE:EXXARO
FABTECH,FABTECH,,NSE:FABTECH
FACT,FACT,,NSE:FACT
FAIRCHEMOR,FAIRCHEMOR,,NSE:FAIRCHEMOR
FAZE3Q,FAZE3Q,,NSE:FAZE3Q
FCL,FCL,,NSE:FCL
FCONSUMER,FCONSUMER,,NSE:FCONSUMER
FCSSOFT,FCSSOFT,,NSE:FCSSOFT
FDC,FDC,,NSE:FDC
FEDERALBNK,FEDERALBNK,,NSE:FEDERALBNK
FEDFINA,FEDFINA,,NSE:FEDFINA
FEL,FEL,,NSE:FEL
FELDVR,FELDVR,,NSE:FELDVR
FIBERWEB,FIBERWEB,,NSE:FIBERWEB
FIEMIND,FIEMIND,,NSE:FIEMIND
FILATEX,FILATEX,,NSE:FILATEX
FILATFASH,FILATFASH,,NSE:FILATFASH
FINCABLES,FINCABLES,,NSE:FINCABLES
FINEORG,FINEORG,,NSE:FINEORG
FINKURVE,FINKURVE,,NSE:FINKURVE
FINOPB,FINOPB,,NSE:FINOPB
FINPIPE,FINPIPE,,NSE:FINPIPE
FIRSTCRY,FIRSTCRY,,NSE:FIRSTCRY
FISCHER,FISCHER,,NSE:FISCHER
FIVESTAR,FIVESTAR,,NSE:FIVESTAR
FLAIR,FLAIR,,NSE:FLAIR
FLEXITUFF,FLEXITUFF,,NSE:FLEXITUFF
FLFL,FLFL,,NSE:FLFL
FLUOROCHEM,FLUOROCHEM,,NSE:FLUOROCHEM
FMGOETZE,FMGOETZE,,NSE:FMGOETZE
FMNL,FMNL,,NSE:FMNL
FOCUS,FOCUS,,NSE:FOCUS
FOODSIN,FOODSIN,,NSE:FOODSIN
FORCEMOT,FORCEMOT,,NSE:FORCEMOT
FORTIS,FORTIS,,NSE:FORTIS
FOSECOIND,FOSECOIND,,NSE:FOSECOIND
FRACTAL,FRACTAL,,NSE:FRACTAL
FSL,FSL,,NSE:FSL
FUSION,FUSION,,NSE:FUSION
GABRIEL,GABRIEL,,NSE:GABRIEL
GAEL,GAEL,,NSE:GAEL
GAIL,GAIL,,NSE:GAIL
GALAPREC,GALAPREC,,NSE:GALAPREC
GALAXYSURF,GALAXYSURF,,NSE:GALAXYSURF
GALLANTT,GALLANTT,,NSE:GALLANTT
GANDHAR,GANDHAR,,NSE:GANDHAR
GANDHITUBE,GANDHITUBE,,NSE:GANDHITUBE
GANECOS,GANECOS,,NSE:GANECOS
GANESHBE,GANESHBE,,NSE:GANESHBE
GANESHCP,GANESHCP,,NSE:GANESHCP
GANESHHOU,GANESHHOU,,NSE:GANESHHOU
GANGAFORGE,GANGAFORGE,,NSE:GANGAFORGE
GANGESSECU,GANGESSECU,,NSE:GANGESSECU
GARFIBRES,GARFIBRES,,NSE:GARFIBRES
GARUDA,GARUDA,,NSE:GARUDA
GATECH,GATECH,,NSE:GATECH
GATECHDVR,GATECHDVR,,NSE:GATECHDVR
GATEWAY,GATEWAY,,NSE:GATEWAY
GAUDIUMIVF,GAUDIUMIVF,,NSE:GAUDIUMIVF
GAYAHWS,GAYAHWS,,NSE:GAYAHWS
GAYAPROJ,GAYAPROJ,,NSE:GAYAPROJ
GCSL,GCSL,,NSE:GCSL
GEECEE,GEECEE,,NSE:GEECEE
GEEKAYWIRE,GEEKAYWIRE,,NSE:GEEKAYWIRE
GEMAROMA,GEMAROMA,,NSE:GEMAROMA
GENCON,GENCON,,NSE:GENCON
GENESYS,GENESYS,,NSE:GENESYS
GENSOL,GENSOL,,NSE:GENSOL
GENUSPAPER,GENUSPAPER,,NSE:GENUSPAPER
GENUSPOWER,GENUSPOWER,,NSE:GENUSPOWER
GEOJITFSL,GEOJITFSL,,NSE:GEOJITFSL
GESHIP,GESHIP,,NSE:GESHIP
GFLLIMITED,GFLLIMITED,,NSE:GFLLIMITED
GFSTEELS,GFSTEELS,,NSE:GFSTEELS
GHCL,GHCL,,NSE:GHCL
GHCLTEXTIL,GHCLTEXTIL,,NSE:GHCLTEXTIL
GICHSGFIN,GICHSGFIN,,NSE:GICHSGFIN
GICL,GICL,,NSE:GICL
GICRE,GICRE,,NSE:GICRE
GILLANDERS,GILLANDERS,,NSE:GILLANDERS
GILLETTE,GILLETTE,,NSE:GILLETTE
GINNIFILA,GINNIFILA,,NSE:GINNIFILA
GIPCL,GIPCL,,NSE:GIPCL
GKENERGY,GKENERGY,,NSE:GKENERGY
GKSL,GKSL,,NSE:GKSL
GKWLIMITED,GKWLIMITED,,NSE:GKWLIMITED
GLAND,GLAND,,NSE:GLAND
GLAXO,GLAXO,,NSE:GLAXO
GLENMARK,GLENMARK,,NSE:GLENMARK
GLFL,GLFL,,NSE:GLFL
GLOBAL,GLOBAL,,NSE:GLOBAL
GLOBALE,GLOBALE,,NSE:GLOBALE
GLOBALVECT,GLOBALVECT,,NSE:GLOBALVECT
GLOBE,GLOBE,,NSE:GLOBE
GLOBECIVIL,GLOBECIVIL,,NSE:GLOBECIVIL
GLOBUSSPR,GLOBUSSPR,,NSE:GLOBUSSPR
GLOSTERLTD,GLOSTERLTD,,NSE:GLOSTERLTD
GLOTTIS,GLOTTIS,,NSE:GLOTTIS
GMBREW,GMBREW,,NSE:GMBREW
GMDCLTD,GMDCLTD,,NSE:GMDCLTD
GMMPFAUDLR,GMMPFAUDLR,,NSE:GMMPFAUDLR
GMRAIRPORT,GMRAIRPORT,,NSE:GMRAIRPORT
GMRP&UI,GMRP&UI,,NSE:GMRP&UI
GNA,GNA,,NSE:GNA
GNFC,GNFC,,NSE:GNFC
GOACARBON,GOACARBON,,NSE:GOACARBON
GOCLCORP,GOCLCORP,,NSE:GOCLCORP
GOCOLORS,GOCOLORS,,NSE:GOCOLORS
GODAVARIB,GODAVARIB,,NSE:GODAVARIB
GODFRYPHLP,GODFRYPHLP,,NSE:GODFRYPHLP
GODIGIT,GODIGIT,,NSE:GODIGIT
GODREJAGRO,GODREJAGRO,,NSE:GODREJAGRO
GODREJCP,GODREJCP,,NSE:GODREJCP
GODREJIND,GODREJIND,,NSE:GODREJIND
GODREJPROP,GODREJPROP,,NSE:GODREJPROP
GOKEX,GOKEX,,NSE:GOKEX
GOKUL,GOKUL,,NSE:GOKUL
GOKULAGRO,GOKULAGRO,,NSE:GOKULAGRO
GOLDENTOBC,GOLDENTOBC,,NSE:GOLDENTOBC
GOLDIAM,GOLDIAM,,NSE:GOLDIAM
GOLDTECH,GOLDTECH,,NSE:GOLDTECH
GOODLUCK,GOODLUCK,,NSE:GOODLUCK
GOPAL,GOPAL,,NSE:GOPAL
GOYALALUM,GOYALALUM,,NSE:GOYALALUM
GPIL,GPIL,,NSE:GPIL
GPPL,GPPL,,NSE:GPPL
GPTHEALTH,GPTHEALTH,,NSE:GPTHEALTH
GPTINFRA,GPTINFRA,,NSE:GPTINFRA
GRANULES,GRANULES,,NSE:GRANULES
GRAPHITE,GRAPHITE,,NSE:GRAPHITE
GRASIM,GRASIM,,NSE:GRASIM
GRAVITA,GRAVITA,,NSE:GRAVITA
GREAVESCOT,GREAVESCOT,,NSE:GREAVESCOT
GREENLAM,GREENLAM,,NSE:GREENLAM
GREENPANEL,GREENPANEL,,NSE:GREENPANEL
GREENPLY,GREENPLY,,NSE:GREENPLY
GREENPOWER,GREENPOWER,,NSE:GREENPOWER
GRINDWELL,GRINDWELL,,NSE:GRINDWELL
GRINFRA,GRINFRA,,NSE:GRINFRA
GRMOVER,GRMOVER,,NSE:GRMOVER
GROBTEA,GROBTEA,,NSE:GROBTEA
GROWW,GROWW,,NSE:GROWW
GRPLTD,GRPLTD,,NSE:GRPLTD
GRSE,GRSE,,NSE:GRSE
GRWRHITECH,GRWRHITECH,,NSE:GRWRHITECH
GSFC,GSFC,,NSE:GSFC
GSLSU,GSLSU,,NSE:GSLSU
GSPL,GSPL,,NSE:GSPL
GSS,GSS,,NSE:GSS
GTECJAINX,GTECJAINX,,NSE:GTECJAINX
GTL,GTL,,NSE:GTL
GTLINFRA,GTLINFRA,,NSE:GTLINFRA
GTPL,GTPL,,NSE:GTPL
GUFICBIO,GUFICBIO,,NSE:GUFICBIO
GUJALKALI,GUJALKALI,,NSE:GUJALKALI
GUJAPOLLO,GUJAPOLLO,,NSE:GUJAPOLLO
GUJGASLTD,GUJGASLTD,,NSE:GUJGASLTD
GUJRAFFIA,GUJRAFFIA,,NSE:GUJRAFFIA
GUJTHEM,GUJTHEM,,NSE:GUJTHEM
GULFOILLUB,GULFOILLUB,,NSE:GULFOILLUB
GULFPETRO,GULFPETRO,,NSE:GULFPETRO
GULPOLY,GULPOLY,,NSE:GULPOLY
GVKPIL,GVKPIL,,NSE:GVKPIL
GVPIL,GVPIL,,NSE:GVPIL
GVPTECH,GVPTECH,,NSE:GVPTECH
GVT&D,GVT&D,,NSE:GVT&D
HAL,HAL,,NSE:HAL
HALDER,HALDER,,NSE:HALDER
HALEOSLABS,HALEOSLABS,,NSE:HALEOSLABS
HAPPSTMNDS,HAPPSTMNDS,,NSE:HAPPSTMNDS
HAPPYFORGE,HAPPYFORGE,,NSE:HAPPYFORGE
HARDWYN,HARDWYN,,NSE:HARDWYN
HARIOMPIPE,HARIOMPIPE,,NSE:HARIOMPIPE
HARRMALAYA,HARRMALAYA,,NSE:HARRMALAYA
HARSHA,HARSHA,,NSE:HARSHA
HATHWAY,HATHWAY,,NSE:HATHWAY
HATSUN,HATSUN,,NSE:HATSUN
HAVELLS,HAVELLS,,NSE:HAVELLS
HAVISHA,HAVISHA,,NSE:HAVISHA
HBLENGINE,HBLENGINE,,NSE:HBLENGINE
HBSL,HBSL,,NSE:HBSL
HCC,HCC,,NSE:HCC
HCG,HCG,,NSE:HCG
HCG-RE,HCG-RE,,NSE:HCG-RE
HCL-INSYS,HCL-INSYS,,NSE:HCL-INSYS
HCLTECH,HCLTECH,,NSE:HCLTECH
HDBFS,HDBFS,,NSE:HDBFS
HDFCAMC,HDFCAMC,,NSE:HDFCAMC
HDFCBANK,HDFCBANK,,NSE:HDFCBANK
HDFCLIFE,HDFCLIFE,,NSE:HDFCLIFE
HDIL,HDIL,,NSE:HDIL
HEADSUP,HEADSUP,,NSE:HEADSUP
HECPROJECT,HECPROJECT,,NSE:HECPROJECT
HEG,HEG,,NSE:HEG
HEIDELBERG,HEIDELBERG,,NSE:HEIDELBERG
HEMIPROP,HEMIPROP,,NSE:HEMIPROP
HERANBA,HERANBA,,NSE:HERANBA
HERITGFOOD,HERITGFOOD,,NSE:HERITGFOOD
HEROMOTOCO,HEROMOTOCO,,NSE:HEROMOTOCO
HESTERBIO,HESTERBIO,,NSE:HESTERBIO
HEXATRADEX,HEXATRADEX,,NSE:HEXATRADEX
HEXT,HEXT,,NSE:HEXT
HFCL,HFCL,,NSE:HFCL
HGINFRA,HGINFRA,,NSE:HGINFRA
HGM,HGM,,NSE:HGM
HGS,HGS,,NSE:HGS
HIKAL,HIKAL,,NSE:HIKAL
HILINFRA,HILINFRA,,NSE:HILINFRA
HILTON,HILTON,,NSE:HILTON
HIMATSEIDE,HIMATSEIDE,,NSE:HIMATSEIDE
HINDALCO,HINDALCO,,NSE:HINDALCO
HINDCOMPOS,HINDCOMPOS,,NSE:HINDCOMPOS
HINDCON,HINDCON,,NSE:HINDCON
HINDCOPPER,HINDCOPPER,,NSE:HINDCOPPER
HINDOILEXP,HINDOILEXP,,NSE:HINDOILEXP
HINDPETRO,HINDPETRO,,NSE:HINDPETRO
HINDUNILVR,HINDUNILVR,,NSE:HINDUNILVR
HINDWAREAP,HINDWAREAP,,NSE:HINDWAREAP
HINDZINC,HINDZINC,,NSE:HINDZINC
HIRECT,HIRECT,,NSE:HIRECT
HISARMETAL,HISARMETAL,,NSE:HISARMETAL
HITECH,HITECH,,NSE:HITECH
HITECHCORP,HITECHCORP,,NSE:HITECHCORP
HITECHGEAR,HITECHGEAR,,NSE:HITECHGEAR
HLEGLAS,HLEGLAS,,NSE:HLEGLAS
HLVLTD,HLVLTD,,NSE:HLVLTD
HMAAGRO,HMAAGRO,,NSE:HMAAGRO
HMT,HMT,,NSE:HMT
HMVL,HMVL,,NSE:HMVL
HNDFDS,HNDFDS,,NSE:HNDFDS
HOMEFIRST,HOMEFIRST,,NSE:HOMEFIRST
HONASA,HONASA,,NSE:HONASA
HONAUT,HONAUT,,NSE:HONAUT
HONDAPOWER,HONDAPOWER,,NSE:HONDAPOWER
HPAL,HPAL,,NSE:HPAL
HPIL,HPIL,,NSE:HPIL
HPL,HPL,,NSE:HPL
HSCL,HSCL,,NSE:HSCL
HTMEDIA,HTMEDIA,,NSE:HTMEDIA
HUBTOWN,HUBTOWN,,NSE:HUBTOWN
HUDCO,HUDCO,,NSE:HUDCO
HUHTAMAKI,HUHTAMAKI,,NSE:HUHTAMAKI
HYBRIDFIN,HYBRIDFIN,,NSE:HYBRIDFIN
HYUNDAI,HYUNDAI,,NSE:HYUNDAI
IBULLSLTD,IBULLSLTD,,NSE:IBULLSLTD
ICDSLTD,ICDSLTD,,NSE:ICDSLTD
ICEMAKE,ICEMAKE,,NSE:ICEMAKE
ICICIAMC,ICICIAMC,,NSE:ICICIAMC
ICICIBANK,ICICIBANK,,NSE:ICICIBANK
ICICIGI,ICICIGI,,NSE:ICICIGI
ICICIPRULI,ICICIPRULI,,NSE:ICICIPRULI
ICIL,ICIL,,NSE:ICIL
ICRA,ICRA,,NSE:ICRA
IDBI,IDBI,,NSE:IDBI
IDEA,IDEA,,NSE:IDEA
IDEAFORGE,IDEAFORGE,,NSE:IDEAFORGE
IDFCFIRSTB,IDFCFIRSTB,,NSE:IDFCFIRSTB
IEX,IEX,,NSE:IEX
IFBAGRO,IFBAGRO,,NSE:IFBAGRO
IFBIND,IFBIND,,NSE:IFBIND
IFCI,IFCI,,NSE:IFCI
IFGLEXPOR,IFGLEXPOR,,NSE:IFGLEXPOR
IGARASHI,IGARASHI,,NSE:IGARASHI
IGCL,IGCL,,NSE:IGCL
IGIL,IGIL,,NSE:IGIL
IGL,IGL,,NSE:IGL
IGPL,IGPL,,NSE:IGPL
IIFL,IIFL,,NSE:IIFL
IIFLCAPS,IIFLCAPS,,NSE:IIFLCAPS
IITL,IITL,,NSE:IITL
IKIO,IKIO,,NSE:IKIO
IKS,IKS,,NSE:IKS
IL&FSENGG,IL&FSENGG,,NSE:IL&FSENGG
IL&FSTRANS,IL&FSTRANS,,NSE:IL&FSTRANS
IMAGICAA,IMAGICAA,,NSE:IMAGICAA
IMFA,IMFA,,NSE:IMFA
IMPAL,IMPAL,,NSE:IMPAL
IMPEXFERRO,IMPEXFERRO,,NSE:IMPEXFERRO
INA,INA,,NSE:INA
INCREDIBLE,INCREDIBLE,,NSE:INCREDIBLE
INDBANK,INDBANK,,NSE:INDBANK
INDGN,INDGN,,NSE:INDGN
INDHOTEL,INDHOTEL,,NSE:INDHOTEL
INDIACEM,INDIACEM,,NSE:INDIACEM
INDIAGLYCO,INDIAGLYCO,,NSE:INDIAGLYCO
INDIAMART,INDIAMART,,NSE:INDIAMART
INDIANB,INDIANB,,NSE:INDIANB
INDIANCARD,INDIANCARD,,NSE:INDIANCARD
INDIANHUME,INDIANHUME,,NSE:INDIANHUME
INDIASHLTR,INDIASHLTR,,NSE:INDIASHLTR
INDIGO,INDIGO,,NSE:INDIGO
INDIGOPNTS,INDIGOPNTS,,NSE:INDIGOPNTS
INDIQUBE,INDIQUBE,,NSE:INDIQUBE
INDNIPPON,INDNIPPON,,NSE:INDNIPPON
INDOAMIN,INDOAMIN,,NSE:INDOAMIN
INDOBORAX,INDOBORAX,,NSE:INDOBORAX
INDOCO,INDOCO,,NSE:INDOCO
INDOFARM,INDOFARM,,NSE:INDOFARM
INDORAMA,INDORAMA,,NSE:INDORAMA
INDOSTAR,INDOSTAR,,NSE:INDOSTAR
INDOTECH,INDOTECH,,NSE:INDOTECH
INDOTHAI,INDOTHAI,,NSE:INDOTHAI
INDOUS,INDOUS,,NSE:INDOUS
INDOWIND,INDOWIND,,NSE:INDOWIND
INDRAMEDCO,INDRAMEDCO,,NSE:INDRAMEDCO
INDSWFTLAB,INDSWFTLAB,,NSE:INDSWFTLAB
INDTERRAIN,INDTERRAIN,,NSE:INDTERRAIN
INDUSINDBK,INDUSINDBK,,NSE:INDUSINDBK
INDUSTOWER,INDUSTOWER,,NSE:INDUSTOWER
INFOBEAN,INFOBEAN,,NSE:INFOBEAN
INFOMEDIA,INFOMEDIA,,NSE:INFOMEDIA
INFY,INFY,,NSE:INFY
INGERRAND,INGERRAND,,NSE:INGERRAND
INNOVACAP,INNOVACAP,,NSE:INNOVACAP
INNOVANA,INNOVANA,,NSE:INNOVANA
INOXGREEN,INOXGREEN,,NSE:INOXGREEN
INOXINDIA,INOXINDIA,,NSE:INOXINDIA
INOXWIND,INOXWIND,,NSE:INOXWIND
INSECTICID,INSECTICID,,NSE:INSECTICID
INSPIRISYS,INSPIRISYS,,NSE:INSPIRISYS
INTELLECT,INTELLECT,,NSE:INTELLECT
INTENTECH,INTENTECH,,NSE:INTENTECH
INTERARCH,INTERARCH,,NSE:INTERARCH
INTLCONV,INTLCONV,,NSE:INTLCONV
INVENTURE,INVENTURE,,NSE:INVENTURE
IOB,IOB,,NSE:IOB
IOC,IOC,,NSE:IOC
IOLCP,IOLCP,,NSE:IOLCP
IONEXCHANG,IONEXCHANG,,NSE:IONEXCHANG
IPCALAB,IPCALAB,,NSE:IPCALAB
IPL,IPL,,NSE:IPL
IRB,IRB,,NSE:IRB
IRCON,IRCON,,NSE:IRCON
IRCTC,IRCTC,,NSE:IRCTC
IREDA,IREDA,,NSE:IREDA
IRFC,IRFC,,NSE:IRFC
IRIS,IRIS,,NSE:IRIS
IRISDOREME,IRISDOREME,,NSE:IRISDOREME
IRMENERGY,IRMENERGY,,NSE:IRMENERGY
ISFT,ISFT,,NSE:ISFT
ISGEC,ISGEC,,NSE:ISGEC
ISHANCH,ISHANCH,,NSE:ISHANCH
ITC,ITC,,NSE:ITC
ITCHOTELS,ITCHOTELS,,NSE:ITCHOTELS
ITDC,ITDC,,NSE:ITDC
ITI,ITI,,NSE:ITI
IVALUE,IVALUE,,NSE:IVALUE
IVC,IVC,,NSE:IVC
IVP,IVP,,NSE:IVP
IXIGO,IXIGO,,NSE:IXIGO
IZMO,IZMO,,NSE:IZMO
J&KBANK,J&KBANK,,NSE:J&KBANK
JAGRAN,JAGRAN,,NSE:JAGRAN
JAGSNPHARM,JAGSNPHARM,,NSE:JAGSNPHARM
JAIBALAJI,JAIBALAJI,,NSE:JAIBALAJI
JAICORPLTD,JAICORPLTD,,NSE:JAICORPLTD
JAINREC,JAINREC,,NSE:JAINREC
JAIPURKURT,JAIPURKURT,,NSE:JAIPURKURT
JAMNAAUTO,JAMNAAUTO,,NSE:JAMNAAUTO
JARO,JARO,,NSE:JARO
JASH,JASH,,NSE:JASH
JAYAGROGN,JAYAGROGN,,NSE:JAYAGROGN
JAYBARMARU,JAYBARMARU,,NSE:JAYBARMARU
JAYKAY,JAYKAY,,NSE:JAYKAY
JAYNECOIND,JAYNECOIND,,NSE:JAYNECOIND
JAYSREETEA,JAYSREETEA,,NSE:JAYSREETEA
JBCHEPHARM,JBCHEPHARM,,NSE:JBCHEPHARM
JBMA,JBMA,,NSE:JBMA
JETFREIGHT,JETFREIGHT,,NSE:JETFREIGHT
JGCHEM,JGCHEM,,NSE:JGCHEM
JHS,JHS,,NSE:JHS
JINDALPHOT,JINDALPHOT,,NSE:JINDALPHOT
JINDALPOLY,JINDALPOLY,,NSE:JINDALPOLY
JINDALSAW,JINDALSAW,,NSE:JINDALSAW
JINDALSTEL,JINDALSTEL,,NSE:JINDALSTEL
JINDRILL,JINDRILL,,NSE:JINDRILL
JINDWORLD,JINDWORLD,,NSE:JINDWORLD
JIOFIN,JIOFIN,,NSE:JIOFIN
JISLDVREQS,JISLDVREQS,,NSE:JISLDVREQS
JISLJALEQS,JISLJALEQS,,NSE:JISLJALEQS
JITFINFRA,JITFINFRA,,NSE:JITFINFRA
JKCEMENT,JKCEMENT,,NSE:JKCEMENT
JKIL,JKIL,,NSE:JKIL
JKIPL,JKIPL,,NSE:JKIPL
JKLAKSHMI,JKLAKSHMI,,NSE:JKLAKSHMI
JKPAPER,JKPAPER,,NSE:JKPAPER
JKTYRE,JKTYRE,,NSE:JKTYRE
JLHL,JLHL,,NSE:JLHL
JMA,JMA,,NSE:JMA
JMFINANCIL,JMFINANCIL,,NSE:JMFINANCIL
JNKINDIA,JNKINDIA,,NSE:JNKINDIA
JOCIL,JOCIL,,NSE:JOCIL
JPASSOCIAT,JPASSOCIAT,,NSE:JPASSOCIAT
JPOLYINVST,JPOLYINVST,,NSE:JPOLYINVST
JPPOWER,JPPOWER,,NSE:JPPOWER
JSFB,JSFB,,NSE:JSFB
JSL,JSL,,NSE:JSL
JSLL,JSLL,,NSE:JSLL
JSWCEMENT,JSWCEMENT,,NSE:JSWCEMENT
JSWENERGY,JSWENERGY,,NSE:JSWENERGY
JSWHL,JSWHL,,NSE:JSWHL
JSWINFRA,JSWINFRA,,NSE:JSWINFRA
JSWSTEEL,JSWSTEEL,,NSE:JSWSTEEL
JTEKTINDIA,JTEKTINDIA,,NSE:JTEKTINDIA
JTLIND,JTLIND,,NSE:JTLIND
JUBLCPL,JUBLCPL,,NSE:JUBLCPL
JUBLFOOD,JUBLFOOD,,NSE:JUBLFOOD
JUBLINGREA,JUBLINGREA,,NSE:JUBLINGREA
JUBLPHARMA,JUBLPHARMA,,NSE:JUBLPHARMA
JUNIPER,JUNIPER,,NSE:JUNIPER
JUSTDIAL,JUSTDIAL,,NSE:JUSTDIAL
JWL,JWL,,NSE:JWL
JYOTHYLAB,JYOTHYLAB,,NSE:JYOTHYLAB
JYOTICNC,JYOTICNC,,NSE:JYOTICNC
JYOTISTRUC,JYOTISTRUC,,NSE:JYOTISTRUC
